file_name,file_path,actor_id,sentence_id,emotion,emotion_id,emotion_level,duration_sec,sample_rate,num_samples
1001_DFA_ANG_XX.wav,AudioWAV\1001_DFA_ANG_XX.wav,1001,DFA,ANG,0,XX,2.276,16000,36409
1001_IEO_ANG_HI.wav,AudioWAV\1001_IEO_ANG_HI.wav,1001,IEO,ANG,0,HI,1.935,16000,30964
1001_IEO_ANG_LO.wav,AudioWAV\1001_IEO_ANG_LO.wav,1001,IEO,ANG,0,LO,2.069,16000,33100
1001_IEO_ANG_MD.wav,AudioWAV\1001_IEO_ANG_MD.wav,1001,IEO,ANG,0,MD,2.636,16000,42175
1001_IOM_ANG_XX.wav,AudioWAV\1001_IOM_ANG_XX.wav,1001,IOM,ANG,0,XX,2.135,16000,34167
1001_ITH_ANG_XX.wav,AudioWAV\1001_ITH_ANG_XX.wav,1001,ITH,ANG,0,XX,2.369,16000,37904
1001_ITS_ANG_XX.wav,AudioWAV\1001_ITS_ANG_XX.wav,1001,ITS,ANG,0,XX,2.569,16000,41108
1001_IWL_ANG_XX.wav,AudioWAV\1001_IWL_ANG_XX.wav,1001,IWL,ANG,0,XX,3.17,16000,50717
1001_IWW_ANG_XX.wav,AudioWAV\1001_IWW_ANG_XX.wav,1001,IWW,ANG,0,XX,2.276,16000,36409
1001_MTI_ANG_XX.wav,AudioWAV\1001_MTI_ANG_XX.wav,1001,MTI,ANG,0,XX,3.003,16000,48048
1001_TAI_ANG_XX.wav,AudioWAV\1001_TAI_ANG_XX.wav,1001,TAI,ANG,0,XX,2.336,16000,37371
1001_TIE_ANG_XX.wav,AudioWAV\1001_TIE_ANG_XX.wav,1001,TIE,ANG,0,XX,3.103,16000,49650
1001_TSI_ANG_XX.wav,AudioWAV\1001_TSI_ANG_XX.wav,1001,TSI,ANG,0,XX,2.502,16000,40040
1001_WSI_ANG_XX.wav,AudioWAV\1001_WSI_ANG_XX.wav,1001,WSI,ANG,0,XX,2.736,16000,43777
1002_DFA_ANG_XX.wav,AudioWAV\1002_DFA_ANG_XX.wav,1002,DFA,ANG,0,XX,2.569,16000,41108
1002_IEO_ANG_HI.wav,AudioWAV\1002_IEO_ANG_HI.wav,1002,IEO,ANG,0,HI,2.736,16000,43777
1002_IEO_ANG_LO.wav,AudioWAV\1002_IEO_ANG_LO.wav,1002,IEO,ANG,0,LO,2.402,16000,38438
1002_IEO_ANG_MD.wav,AudioWAV\1002_IEO_ANG_MD.wav,1002,IEO,ANG,0,MD,2.769,16000,44311
1002_IOM_ANG_XX.wav,AudioWAV\1002_IOM_ANG_XX.wav,1002,IOM,ANG,0,XX,2.836,16000,45379
1002_ITH_ANG_XX.wav,AudioWAV\1002_ITH_ANG_XX.wav,1002,ITH,ANG,0,XX,2.936,16000,46980
1002_ITS_ANG_XX.wav,AudioWAV\1002_ITS_ANG_XX.wav,1002,ITS,ANG,0,XX,2.703,16000,43243
1002_IWL_ANG_XX.wav,AudioWAV\1002_IWL_ANG_XX.wav,1002,IWL,ANG,0,XX,2.603,16000,41642
1002_IWW_ANG_XX.wav,AudioWAV\1002_IWW_ANG_XX.wav,1002,IWW,ANG,0,XX,2.402,16000,38438
1002_MTI_ANG_XX.wav,AudioWAV\1002_MTI_ANG_XX.wav,1002,MTI,ANG,0,XX,2.736,16000,43777
1002_TAI_ANG_XX.wav,AudioWAV\1002_TAI_ANG_XX.wav,1002,TAI,ANG,0,XX,2.502,16000,40040
1002_TIE_ANG_XX.wav,AudioWAV\1002_TIE_ANG_XX.wav,1002,TIE,ANG,0,XX,2.536,16000,40574
1002_TSI_ANG_XX.wav,AudioWAV\1002_TSI_ANG_XX.wav,1002,TSI,ANG,0,XX,2.436,16000,38972
1002_WSI_ANG_XX.wav,AudioWAV\1002_WSI_ANG_XX.wav,1002,WSI,ANG,0,XX,2.603,16000,41642
1003_DFA_ANG_XX.wav,AudioWAV\1003_DFA_ANG_XX.wav,1003,DFA,ANG,0,XX,3.136,16000,50183
1003_IEO_ANG_HI.wav,AudioWAV\1003_IEO_ANG_HI.wav,1003,IEO,ANG,0,HI,2.569,16000,41108
1003_IEO_ANG_LO.wav,AudioWAV\1003_IEO_ANG_LO.wav,1003,IEO,ANG,0,LO,2.276,16000,36409
1003_IEO_ANG_MD.wav,AudioWAV\1003_IEO_ANG_MD.wav,1003,IEO,ANG,0,MD,2.569,16000,41108
1003_IOM_ANG_XX.wav,AudioWAV\1003_IOM_ANG_XX.wav,1003,IOM,ANG,0,XX,2.736,16000,43777
1003_ITH_ANG_XX.wav,AudioWAV\1003_ITH_ANG_XX.wav,1003,ITH,ANG,0,XX,3.67,16000,58725
1003_ITS_ANG_XX.wav,AudioWAV\1003_ITS_ANG_XX.wav,1003,ITS,ANG,0,XX,3.737,16000,59793
1003_IWL_ANG_XX.wav,AudioWAV\1003_IWL_ANG_XX.wav,1003,IWL,ANG,0,XX,3.537,16000,56590
1003_IWW_ANG_XX.wav,AudioWAV\1003_IWW_ANG_XX.wav,1003,IWW,ANG,0,XX,3.403,16000,54454
1003_MTI_ANG_XX.wav,AudioWAV\1003_MTI_ANG_XX.wav,1003,MTI,ANG,0,XX,2.236,16000,35769
1003_TAI_ANG_XX.wav,AudioWAV\1003_TAI_ANG_XX.wav,1003,TAI,ANG,0,XX,2.869,16000,45912
1003_TIE_ANG_XX.wav,AudioWAV\1003_TIE_ANG_XX.wav,1003,TIE,ANG,0,XX,3.17,16000,50717
1003_TSI_ANG_XX.wav,AudioWAV\1003_TSI_ANG_XX.wav,1003,TSI,ANG,0,XX,3.971,16000,63530
1003_WSI_ANG_XX.wav,AudioWAV\1003_WSI_ANG_XX.wav,1003,WSI,ANG,0,XX,3.537,16000,56590
1004_DFA_ANG_XX.wav,AudioWAV\1004_DFA_ANG_XX.wav,1004,DFA,ANG,0,XX,3.07,16000,49116
1004_IEO_ANG_HI.wav,AudioWAV\1004_IEO_ANG_HI.wav,1004,IEO,ANG,0,HI,4.004,16000,64064
1004_IEO_ANG_LO.wav,AudioWAV\1004_IEO_ANG_LO.wav,1004,IEO,ANG,0,LO,2.669,16000,42709
1004_IEO_ANG_MD.wav,AudioWAV\1004_IEO_ANG_MD.wav,1004,IEO,ANG,0,MD,2.903,16000,46446
1004_IOM_ANG_XX.wav,AudioWAV\1004_IOM_ANG_XX.wav,1004,IOM,ANG,0,XX,2.603,16000,41642
1004_ITH_ANG_XX.wav,AudioWAV\1004_ITH_ANG_XX.wav,1004,ITH,ANG,0,XX,3.27,16000,52319
1004_ITS_ANG_XX.wav,AudioWAV\1004_ITS_ANG_XX.wav,1004,ITS,ANG,0,XX,3.37,16000,53920
1004_IWL_ANG_XX.wav,AudioWAV\1004_IWL_ANG_XX.wav,1004,IWL,ANG,0,XX,3.17,16000,50717
1004_IWW_ANG_XX.wav,AudioWAV\1004_IWW_ANG_XX.wav,1004,IWW,ANG,0,XX,2.369,16000,37904
